PAPER NEGOTIATION CODE,ABBREVIATED NAME OF THE COMPANY,PAPER SPECIFICATION
AALR3,ALLIAR,ON
ABCB4,ABC BRASIL,PN
ABEV3,AMBEV S/A,ON
ADHM3,ADVANCED-DH,ON
AELP3,AES ELPA,ON
AGRO3,BRASILAGRO,ON
ALPA3,ALPARGATAS,ON
ALPA4,ALPARGATAS,PN
ALSC3,ALIANSCE,ON
ALUP3,ALUPAR,ON
ALUP4,ALUPAR,PN
AMAR3,LOJAS MARISA,ON
ANIM3,ANIMA,ON
ARZZ3,AREZZO CO,ON
ATOM3,ATOMPAR,ON
AZEV4,AZEVEDO,PN
AZUL4,AZUL,PN
BAUH4,EXCELSIOR,PN
BBAS3,BRASIL,ON
BBDC3,BRADESCO,ON
BBDC4,BRADESCO,PN
BBRK3,BR BROKERS,ON
BBSE3,BBSEGURIDADE,ON
BEEF3,MINERVA,ON
BEES3,BANESTES,ON
BEES4,BANESTES,PN
BGIP4,BANESE,PN
BIOM3,BIOMM,ON
BMEB3,MERC BRASIL,ON
BMEB4,MERC BRASIL,PN
BMIN3,MERC INVEST,ON
BOBR4,BOMBRIL,PN
BPAN4,BANCO PAN,PN
BPHA3,BR PHARMA,ON
BRAP3,BRADESPAR,ON
BRAP4,BRADESPAR,PN
BRFS3,BRF SA,ON
BRGE12,ALFA CONSORC,PN
BRIN3,BR INSURANCE,ON
BRIV3,ALFA INVEST,ON
BRIV4,ALFA INVEST,PN
BRKM3,BRASKEM,ON
BRKM5,BRASKEM,PN
BRML3,BR MALLS PAR,ON
BRPR3,BR PROPERT,ON
BRSR3,BANRISUL,ON
BRSR5,BANRISUL,PN
BRSR6,BANRISUL,PN
BSEV3,BIOSEV,ON
BTOW3,B2W DIGITAL,ON
BTTL3,BATTISTELLA,ON
BTTL4,BATTISTELLA,PN
BVMF3,BMFBOVESPA,ON
CAML3,CAMIL,ON
CARD3,CSU CARDSYST,ON
CCRO3,CCR SA,ON
CCXC3,CCX CARVAO,ON
CEBR5,CEB,PN
CEDO3,CEDRO,ON
CEDO4,CEDRO,PN
CEED3,CEEE-D,ON
CELP3,CELPA,ON
CELP5,CELPA,PN
CELP7,CELPA,PN
CESP3,CESP,ON
CESP5,CESP,PN
CESP6,CESP,PN
CGAS3,COMGAS,ON
CGAS5,COMGAS,PN
CGRA4,GRAZZIOTIN,PN
CIEL3,CIELO,ON
CLSC4,CELESC,PN
CMIG3,CEMIG,ON
CMIG4,CEMIG,PN
COCE5,COELCE,PN
CPFE3,CPFL ENERGIA,ON
CPLE3,COPEL,ON
CPLE6,COPEL,PN
CPRE3,CPFL RENOVAV,ON
CRDE3,CR2,ON
CREM3,CREMER,ON
CRFB3,CARREFOUR BR,ON
CRIV3,ALFA FINANC,ON
CRIV4,ALFA FINANC,PN
CRPG5,CRISTAL,PN
CRPG6,CRISTAL,PN
CSAN3,COSAN,ON
CSMG3,COPASA,ON
CSNA3,SID NACIONAL,ON
CTAX3,CONTAX,ON
CTKA3,KARSTEN,ON
CTKA4,KARSTEN,PN
CTNM4,COTEMINAS,PN
CTSA3,SANTANENSE,ON
CVCB3,CVC BRASIL,ON
CYRE3,CYRELA REALT,ON
DASA3,DASA,ON
DIRR3,DIRECIONAL,ON
DMMO3,DOMMO,ON
DTCY3,DTCOM-DIRECT,ON
DTEX3,DURATEX,ON
EALT4,ACO ALTONA,PN
ECOR3,ECORODOVIAS,ON
EGIE3,ENGIE BRASIL,ON
EKTR3,ELEKTRO,ON
EKTR4,ELEKTRO,PN
ELEK3,ELEKEIROZ,ON
